Symbol,Description,GICS Sector,Market cap
MAA,"Mid-America Apartment Communities, Inc",Real Estate,"$23,423,740,431"
KMX,Carmax Inc,Consumer Discretionary,"$23,407,527,547"
LYV,Live Nation Entertainment Inc,Communication Services,"$23,383,761,063"
HRL,Hormel Foods Corp,Consumer Staples,"$23,367,923,917"
HBAN,Huntington Bancshares Inc,Financials,"$23,344,372,905"
CTLT,Catalent Inc,Health Care,"$23,286,839,901"
XYL,Xylem Inc,Industrials,"$23,250,034,376"
EXPE,Expedia Inc,Consumer Discretionary,"$23,224,168,584"
FOX,Fox Corporation Class B,Communication Services,"$23,177,036,839"
FOXA,Fox Corporation Class A,Communication Services,"$23,177,036,839"
TER,Teradyne Inc,Information Technology,"$23,169,211,831"
MGM,MGM Resorts International,Consumer Discretionary,"$23,072,432,451"
BIO,Bio Rad Laboratories Inc Class A,Health Care,"$23,058,553,001"
RF,Regions Financial Corp,Financials,"$22,870,761,796"
HAL,Halliburton,Energy,"$22,600,873,808"
CERN,Cerner Corp,Health Care,"$22,558,059,009"
DISH,Dish Network Corp Class A,Communication Services,"$22,549,319,567"
KEY,Keycorp,Financials,"$22,503,388,500"
PPL,PPL Corporation,Utilities,"$22,503,274,323"
COO,"Cooper Companies, Inc.",Health Care,"$22,437,189,984"
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"$22,365,452,770"
TRMB,Trimble Inc,Information Technology,"$22,250,746,784"
TYL,Tyler Technologies Inc,Information Technology,"$22,204,662,922"
DTE,DTE Energy,Utilities,"$21,906,680,596"
ESS,"Essex Property Trust, Inc",Real Estate,"$21,878,623,512"
CRL,Charles River Laboratories International,Health Care,"$21,768,820,873"
CHD,Church And Dwight Inc,Consumer Staples,"$21,746,294,960"
MKC,McCormick & Co  Non-voting,Consumer Staples,"$21,742,491,871"
AEE,Ameren Corp,Utilities,"$21,685,220,171"
MCHP,Microchip Technology Inc,Information Technology,"$21,588,884,671"
TTWO,Take Two Interactive Software Inc,Communication Services,"$21,432,381,804"
WAT,Waters Corp,Health Care,"$21,408,462,643"
FE,Firstenergy Corp,Utilities,"$21,395,691,027"
DRE,Duke Realty Corporation,Real Estate,"$21,365,701,830"
K,Kellogg,Consumer Staples,"$21,315,160,994"
TDY,Teledyne Technologies Inc,Information Technology,"$20,946,307,817"
ETR,Entergy Corp,Utilities,"$20,859,083,017"
BR,Broadridge Financial Solutions Inc,Information Technology,"$20,779,028,293"
VTR,"Ventas, Inc",Real Estate,"$20,743,444,230"
FANG,Diamondback Energy Inc,Energy,"$20,721,590,014"
EXPD,Expeditors International Of Washington,Industrials,"$20,711,431,072"
POOL,Pool Corp,Consumer Discretionary,"$20,661,741,133"
STX,Seagate Technology Plc,Information Technology,"$20,442,432,470"
CLX,Clorox,Consumer Staples,"$20,320,272,869"
JBHT,JB Hunt Transport Services Inc,Industrials,"$20,287,633,989"
ULTA,Ulta Beauty Inc,Consumer Discretionary,"$20,213,404,493"
NTAP,NetApp Inc,Information Technology,"$20,184,791,810"
CFG,Citizens Financial Group Inc,Financials,"$20,119,991,380"
FLT,Fleetcor Technologies Inc,Information Technology,"$20,010,844,436"
HPE,Hewlett Packard Enterprise,Information Technology,"$19,934,682,213"
CINF,Cincinnati Financial Corp,Financials,"$19,912,193,123"
MTB,M&T Bank Corp,Financials,"$19,793,223,195"
PKI,Perkinelmer Inc,Health Care,"$19,766,845,610"
TECH,Bio-Techne Corp,Health Care,"$19,669,904,365"
CDAY,Ceridian HCM Holding Inc.,Information Technology,"$19,529,980,914"
QRVO,"Qorvo, Inc.",Information Technology,"$19,126,345,209"
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"$19,079,795,585"
GPC,Genuine Parts,Consumer Discretionary,"$19,073,120,492"
PEAK,"Healthpeak Properties, Inc.",Real Estate,"$19,068,701,001"
IP,International Paper,Materials,"$18,956,532,123"
BEN,Franklin Resources Inc,Financials,"$18,947,545,653"
DRI,Darden Restaurants Inc,Consumer Discretionary,"$18,643,615,681"
AMCR,Amcor plc,Materials,"$18,582,903,087"
J,Jacobs Engineering Group Inc.,Industrials,"$18,326,115,760"
PFG,Principal Financial Group Inc,Financials,"$18,098,940,134"
CE,Celanese Corporation,Materials,"$18,086,713,978"
HOLX,Hologic Inc,Health Care,"$17,974,790,754"
AVY,Avery Dennison Corp,Materials,"$17,917,645,211"
BXP,"Boston Properties, Inc",Real Estate,"$17,779,860,915"
BRO,Brown & Brown Inc,Financials,"$17,716,635,610"
DPZ,Dominos Pizza Inc,Consumer Discretionary,"$17,715,630,118"
DGX,Quest Diagnostics Inc,Health Care,"$17,693,382,221"
IEX,IDEX Corp,Industrials,"$17,631,703,691"
CMS,CMS Energy Corp,Utilities,"$17,509,310,191"
NVR,"NVR, Inc.",Consumer Discretionary,"$17,500,849,262"
CTRA,Coterra Energy Inc.,Energy,"$17,417,400,000"
TFX,Teleflex Inc,Health Care,"$17,319,046,465"
ROL,Rollins Inc,Industrials,"$17,270,891,640"
WDC,Western Digital Corp,Information Technology,"$17,143,299,938"
AKAM,Akamai Technologies Inc,Information Technology,"$17,118,301,184"
UDR,"UDR, Inc",Real Estate,"$17,067,088,121"
WAB,Westinghouse Air Brake Technologies,Industrials,"$17,039,944,596"
AES,AES Corp,Utilities,"$16,905,546,578"
PWR,Quanta Services Inc,Industrials,"$16,816,286,383"
VTRS,Viatris Inc.,Health Care,"$16,725,889,189"
LKQ,LKQ Corp,Consumer Discretionary,"$16,609,835,573"
TXT,Textron Inc,Industrials,"$16,604,631,597"
ABMD,Abiomed Inc,Health Care,"$15,913,202,102"
CAG,Conagra Brands Inc,Consumer Staples,"$15,748,215,510"
MAS,Masco Corp,Industrials,"$15,643,567,426"
CNP,Centerpoint Energy Inc,Utilities,"$15,527,798,974"
UAL,United Continental Holdings Inc,Industrials,"$15,526,945,071"
MKTX,Marketaxess Holdings Inc,Financials,"$15,480,961,494"
PTC,PTC Inc,Information Technology,"$14,838,231,189"
EMN,Eastman Chemical,Materials,"$14,694,322,495"
NLOK,NortonLifeLock Inc.,Information Technology,"$14,665,402,918"
EVRG,Evergy Inc,Utilities,"$14,654,631,959"
L,Loews Corp,Financials,"$14,558,948,405"
WRB,WR Berkley Corp,Financials,"$14,489,989,540"
OMC,Omnicom Group Inc,Communication Services,"$14,426,346,888"
CBOE,"Cboe Global Markets, Inc.",Financials,"$14,404,266,903"
KIM,Kimco Realty Corporation,Real Estate,"$14,372,277,441"
MOS,Mosaic,Materials,"$14,299,320,972"
AAP,Advance Auto Parts Inc,Consumer Discretionary,"$14,286,678,037"
LNT,Alliant Energy Corp,Utilities,"$14,284,718,420"
IPG,Interpublic Group Of Companies Inc,Communication Services,"$14,041,312,572"
INCY,Incyte Corp,Health Care,"$14,018,622,876"
LNC,Lincoln National Corp,Financials,"$13,926,997,023"
LDOS,Leidos Holdings Inc,Industrials,"$13,897,454,015"
CAH,Cardinal Health Inc,Health Care,"$13,872,875,330"
NWS,News Corp Class B,Communication Services,"$13,863,692,386"
NWSA,News Corp Class A,Communication Services,"$13,863,692,386"
RJF,Raymond James Inc,Financials,"$13,845,428,851"
FBHS,Fortune Brands Home And Security,Industrials,"$13,766,177,371"
LUMN,"CenturyLink, Inc.",Communication Services,"$13,516,988,987"
IRM,Iron Mountain Incorporated,Real Estate,"$13,512,007,458"
WHR,Whirlpool Corp,Consumer Discretionary,"$13,509,467,998"
FFIV,F5 Networks Inc,Information Technology,"$13,426,713,763"
SJM,J.M. Smucker,Consumer Staples,"$13,405,032,633"
MRO,Marathon Oil Corp,Energy,"$13,339,708,424"
HWM,Howmet Aerospace Inc.,Industrials,"$13,159,025,529"
HAS,Hasbro Inc,Consumer Discretionary,"$12,891,138,366"
XRAY,Dentsply Sirona Inc,Health Care,"$12,861,702,869"
